,./files/chrome.txt,./files/chromium.txt,./files/clang.txt,./files/firefox.txt,./files/gcc.txt,./files/gnome_calc.txt,./files/gnome_calendar.txt,./files/gxx.txt,./files/htop.txt,./files/lo_calc.txt,./files/loffice.txt,./files/octave.txt,./files/scipysignal.txt,./files/sklearn.txt
access,883,2,64,1188,45,605,19,45,5,6,6,2,1,1
arch_prctl,4,4,2,4,2,2,2,2,2,4,4,4,2,2
bind,1,0,0,0,0,0,1,0,0,0,0,0,0,0
brk,5,6,6,4,4,94,10,4,55,6,6,6,89,95
chdir,0,0,0,0,0,0,0,0,0,3,3,0,0,0
clock_gettime,20,0,0,0,0,0,0,0,0,0,0,0,0,0
clock_nanosleep,6,0,0,0,0,0,0,0,1,0,0,0,0,0
clone,30,9,2,99,0,9,3,0,0,11,11,9,14,14
close,1467,37,25,1332,13,582,213,13,179767,51,50,34,651,745
connect,5,3,0,11,0,6,1,0,2,3,3,3,0,0
creat,3,0,0,0,0,0,0,0,0,0,0,0,0,0
dup,96,0,0,313,0,0,0,0,0,0,0,0,3,3
dup2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
epoll_create1,0,2,0,0,0,0,0,0,0,0,0,2,1,1
epoll_ctl,0,48,0,0,0,0,0,0,0,0,0,46,0,0
epoll_pwait,0,3,0,0,0,0,0,0,0,0,0,4,0,0
eventfd2,8,0,0,7,0,10,22,0,0,0,0,0,0,0
execve,2,2,1,2,1,1,1,1,1,2,2,2,1,1
exit_group,1,0,1,1,1,1,1,1,0,1,1,0,1,1
faccessat2,0,0,0,1,0,0,0,0,2755,4,4,0,0,0
fadvise64,164,0,0,56,0,62,0,0,0,0,0,0,0,0
fallocate,171,0,0,0,0,0,0,0,0,0,0,0,0,0
fcntl,515,36,0,452,0,102,5,0,73460,3,3,35,3,3
flock,4,0,0,0,0,0,0,0,0,0,0,0,0,0
fstat,472,8,0,2,0,2,0,0,0,0,0,8,6,6
fstatfs,354,0,0,144,0,156,0,0,0,0,0,0,0,0
ftruncate,172,0,0,77,0,1,0,0,0,0,0,0,0,0
futex,5290,81,283,9172,0,895,358,0,2,14,14,19,33,38
getcwd,0,0,0,3,2,0,0,2,0,1,1,0,2,3
getdents64,14,4,8,56,0,30,2,0,19864,0,0,2,120,144
getegid,11,0,0,24,0,2,2,0,0,1,1,0,0,0
geteuid,13,1,0,30,0,3,2,0,0,2,2,1,0,0
getgid,10,1,0,23,0,1,0,0,0,1,1,1,0,0
getpeername,3,1,0,2,0,2,0,0,0,0,0,1,0,0
getpgrp,1,0,0,0,0,0,0,0,0,0,0,0,0,0
getpid,217,4,0,246,0,228,4,0,0,1,1,4,2,4
getppid,3,0,0,1,0,0,0,0,0,1,1,0,0,0
getpriority,9,0,0,3,0,0,0,0,0,0,0,0,0,0
getrandom,3546,0,0,282,0,123,1,0,0,0,0,0,3,7
getresgid,4,0,0,2,0,1,0,0,0,0,0,0,0,0
getresuid,4,0,0,2,0,1,0,0,0,0,0,0,0,0
getrusage,0,0,0,26,0,0,0,0,0,0,0,0,0,0
getsockname,4,1,0,3,0,3,1,0,0,0,0,1,0,0
getsockopt,0,0,0,2,0,0,2,0,0,0,0,6,0,0
gettid,421,2,0,48,0,1,1,0,0,0,0,2,1,1
getuid,11,4,0,43,0,3,1,0,1,4,4,5,0,0
inotify_add_watch,0,0,0,7,0,0,0,0,0,0,0,0,0,0
