,syscall_names,./apache
0,access,1.0
1,arch_prctl,2.0
2,bind,1.0
3,brk,4.0
4,close,17.0
5,connect,2.0
6,epoll_create1,1.0
7,epoll_ctl,1.0
8,epoll_wait,1.0
9,exit_group,1.0
10,fcntl,2.0
11,futex,20.0
12,getpid,14.0
13,getrandom,1.0
14,getsockname,1.0
15,mmap,57.0
16,mprotect,17.0
17,munmap,5.0
18,newfstatat,14.0
19,openat,13.0
20,pread64,6.0
21,prlimit64,1.0
22,read,15.0
23,recvmsg,3.0
24,rt_sigaction,4.0
25,rt_sigprocmask,1.0
26,sendto,1.0
27,set_robust_list,1.0
28,set_tid_address,1.0
29,socket,3.0
30,sysinfo,1.0
31,write,6.0
