,syscall_names,./classifier
0,access,3.0
1,arch_prctl,2.0
2,brk,2224.7
3,clone,9.0
4,close,2861.0
5,dup,3.0
6,fcntl,4.0
7,fstat,3392.0
8,futex,19.6
9,getcwd,8.0
10,getdents64,1738.0
11,getegid,2.0
12,geteuid,2.0
13,getgid,2.0
14,getpid,9.0
15,getrandom,1.0
16,gettid,1.0
17,getuid,2.0
18,ioctl,1793.0
19,link,1.0
20,lseek,3404.0
21,lstat,69.0
22,madvise,45.9
23,mkdir,2.0
24,mmap,2130.5
25,mprotect,369.0
26,mremap,12.0
27,munmap,722.0
28,newfstatat,1449.0
29,openat,3182.0
30,pipe2,2.0
31,pread64,8.0
32,prlimit64,2.0
33,read,4276.0
34,readlink,8.0
35,rt_sigaction,67.0
36,rt_sigprocmask,17.0
37,sched_getaffinity,1.0
38,set_robust_list,1.0
39,set_tid_address,1.0
40,sigaltstack,1.0
41,stat,14521.0
42,statfs,1.0
43,sysinfo,1.0
44,uname,3.0
45,unlink,2.0
46,wait4,1.0
47,write,13.0
