,syscall_names,./results
0,access,1756.9
1,arch_prctl,28.0
2,bind,1.0
3,brk,2267.7
4,chdir,5.0
5,clock_nanosleep,1.0
6,clone,175.3
7,close,5645.50909090909
8,connect,28.1
9,creat,1.0
10,dup,552.3
11,dup2,11.0
12,epoll_create1,3.0
13,epoll_ctl,47.4
14,epoll_pwait,3.5
15,epoll_wait,1.0
16,eventfd2,15.2
17,exit_group,6.909090909090909
18,faccessat2,5.0
19,fadvise64,186.0
20,fallocate,5.0
21,fchmod,0.9090909090909092
22,fchown,1.818181818181818
23,fcntl,893.8
24,flock,4.0
25,fstat,3595.2
26,fstatfs,391.0
27,ftruncate,128.0
28,futex,35717.80000000001
29,getcwd,18.0
30,getdents64,1874.8
31,getegid,38.0
32,geteuid,55.0
33,getgid,37.1
34,getpeername,7.0
35,getpgrp,1.0
36,getpid,786.5909090909092
37,getppid,5.0
38,getpriority,6.0
39,getrandom,841.6999999999999
40,getresgid,6.0
41,getresuid,6.0
42,getrusage,66.4
43,getsockname,7.0
44,getsockopt,2.0
45,gettid,243.0909090909091
46,getuid,82.3
47,inotify_add_watch,7.0
48,inotify_init1,1.0
49,ioctl,1900.0
50,kill,2.0
51,link,1.0
52,lseek,3534.1
53,lstat,72.0
54,madvise,7170.900000000001
55,memfd_create,123.0
56,mincore,3.0
57,mkdir,31.1
58,mmap,5165.7
59,mprotect,6912.999999999999
60,mremap,12.0
61,munmap,1567.9
62,nanosleep,0.1
63,newfstatat,5549.8
64,openat,6487.3
65,pipe,28.0
66,pipe2,7.1
67,poll,152073.6
68,prctl,16.0
69,pread64,159.2
70,prlimit64,22.0
71,pselect6,207.8
72,pwrite64,2.0
73,quotactl,2.1
74,read,256921.73636363636
75,readahead,13.0
76,readlink,1064.3
77,readlinkat,10.0
78,recvfrom,34.4
79,recvmsg,156668.6
80,rename,1.2
81,rmdir,3.2
82,rt_sigaction,463.09090909090907
83,rt_sigprocmask,436.40000000000003
84,rt_sigreturn,17.29090909090909
85,sched_getaffinity,8.0
86,sched_getattr,2.0
87,sched_getparam,1.0
88,sched_getscheduler,1.0
89,sched_setattr,2.0
90,sched_setscheduler,8.0
91,sched_yield,0.2
92,seccomp,1.0
93,sendmsg,26.2
94,sendto,18.1
95,set_robust_list,10.0
96,set_tid_address,10.0
97,setpriority,7.0
98,setsockopt,8.1
99,shmdt,2.8
100,shutdown,5.0
101,sigaltstack,9.0
102,socket,29.1
103,socketpair,36.0
104,stat,14768.5
105,statfs,18.1
106,statx,33.0
107,symlink,2.9
108,sysinfo,11.0
109,tgkill,0.0909090909090909
110,umask,7.2
111,uname,55.1
112,unlink,11.090909090909092
113,unlinkat,0.9090909090909092
114,utimensat,0.9090909090909092
115,wait4,34.0
116,waitid,1.0
117,write,56706.28181818182
118,writev,18319.0
