,syscall_names,./open_ssh
0,access,2.0
1,arch_prctl,2.0
2,brk,4.0
3,clone,1.0
4,close,51.0
5,connect,5.0
6,dup,3.0
7,dup2,1.0
8,exit_group,1.0
9,fcntl,9.0
10,futex,16.0
11,getdents64,4.0
12,getpeername,3.0
13,getpid,78.6
14,getrandom,1.0
15,getuid,10.0
16,ioctl,15.0
17,kill,1.0
18,lseek,5.0
19,mmap,77.0
20,mprotect,21.0
21,munmap,4.0
22,newfstatat,123.0
23,openat,129.0
24,pipe,2.0
25,pread64,6.0
26,prlimit64,1.0
27,pselect6,202.8
28,read,189.9
29,rt_sigaction,14.0
30,rt_sigprocmask,1.0
31,set_robust_list,1.0
32,set_tid_address,1.0
33,socket,5.0
34,statfs,2.0
35,umask,1.0
36,uname,1.0
37,write,109.9
